14:11:36 --> Exception 'TABLE_NOT_FOUND_EX', at db/rop/RecordSet.m, line 124, code 7007 [internal code: 0 - ], msg: data/audits_index.dat
14:12:08 --> Exception 'TABLE_NOT_FOUND_EX', at db/rop/RecordSet.m, line 124, code 7007 [internal code: 0 - ], msg: data/audits_index.dat
14:14:38 --> Exception 'TABLE_NOT_FOUND_EX', at db/rop/RecordSet.m, line 124, code 7007 [internal code: 0 - ], msg: data/audits_index.dat
13:33:09 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
13:41:46 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
13:44:17 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
13:52:31 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
13:53:15 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
14:03:52 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
14:26:00 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 279, code 390011 [internal code: 0 - ], msg: 
13:07:16 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
13:08:55 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
13:09:06 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
13:59:11 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 295, code 390031 [internal code: 0 - ], msg: 
14:02:33 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
14:05:27 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
14:06:55 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
14:07:32 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
14:10:42 --> Exception 'CIM_USR_BAD_PASSWORD_EX', at cim/SafeBoxHAL.m, line 280, code 390011 [internal code: 0 - ], msg: 
14:13:32 --> Exception 'KEY_FILES_NOT_FOUND_EX', at settings/commercial/CommercialStateMgr.m, line 73, code 105045 [internal code: 0 - ], msg: 
14:18:13 --> Exception 'KEY_FILES_NOT_FOUND_EX', at settings/commercial/CommercialStateMgr.m, line 73, code 105045 [internal code: 0 - ], msg: 
14:19:36 --> Exception 'KEY_FILES_NOT_FOUND_EX', at settings/commercial/CommercialStateMgr.m, line 73, code 105045 [internal code: 0 - ], msg: 
12:28:38 --> Exception 'KEY_FILES_NOT_FOUND_EX', at settings/commercial/CommercialStateMgr.m, line 73, code 105045 [internal code: 0 - ], msg: 
12:29:54 --> Exception 'KEY_FILES_NOT_FOUND_EX', at settings/commercial/CommercialStateMgr.m, line 73, code 105045 [internal code: 0 - ], msg: 
13:08:10 --> Exception 'GENERAL_IO_EX', at cim/CimBackup.m, line 1319, code 3001 [internal code: 0 - ], msg: audits
10:58:38 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 295, code 390031 [internal code: 0 - ], msg: 
10:44:25 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 295, code 390031 [internal code: 0 - ], msg: 
13:42:40 --> Exception 'ABSTRACT_METHOD_EX', at ui/jlcd/JWindow.m, line 327, code 6 [internal code: 0 - ], msg: 
13:51:49 --> Exception 'ABSTRACT_METHOD_EX', at ui/jlcd/JWindow.m, line 327, code 6 [internal code: 0 - ], msg: 
13:58:20 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 298, code 390031 [internal code: 0 - ], msg: 
12:45:36 --> Exception 'INVALID_POINTER_EX', at net/SSLServerSocket.m, line 31, code 1 [internal code: 0 - ], msg: 
12:47:53 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 298, code 390031 [internal code: 0 - ], msg: 
13:22:22 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 298, code 390031 [internal code: 0 - ], msg: 
13:57:02 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 298, code 390031 [internal code: 0 - ], msg: 
10:53:54 --> Exception 'CIM_DFILE_COMMUNICATION_ERROR_EX', at cim/SafeBoxHAL.m, line 298, code 390031 [internal code: 0 - ], msg: 
10:52:46 --> Exception 'TABLE_NOT_FOUND_EX', at db/rop/RecordSet.m, line 124, code 7007 [internal code: 0 - ], msg: data/regional_settings.dat
